yearmonth,year,month,timestamp,first,secondorgreater,total,population
2004-01,2004,1,2004-01-01,1884,2721,4605,5220147
2004-02,2004,2,2004-02-01,1978,2581,4559,5220986
2004-03,2004,3,2004-03-01,2144,3033,5177,5222507
2004-04,2004,4,2004-04-01,1913,2988,4901,5224067
2004-05,2004,5,2004-05-01,1948,2725,4673,5225722
2004-06,2004,6,2004-06-01,2074,2822,4896,5227493
2004-07,2004,7,2004-07-01,2189,3029,5218,5229783
2004-08,2004,8,2004-08-01,2208,2856,5064,5231511
2004-09,2004,9,2004-09-01,1987,2789,4776,5233055
2004-10,2004,10,2004-10-01,1975,2728,4703,5234152
2004-11,2004,11,2004-11-01,1960,2671,4631,5235602
2004-12,2004,12,2004-12-01,1973,2582,4555,5236611
2005-01,2005,1,2005-01-01,2018,2765,4783,5237518
2005-02,2005,2,2005-02-01,1824,2487,4311,5238318
2005-03,2005,3,2005-03-01,2068,2841,4909,5239456
2005-04,2005,4,2005-04-01,2014,2864,4878,5241298
2005-05,2005,5,2005-05-01,2087,2877,4964,5243063
2005-06,2005,6,2005-06-01,1977,2864,4841,5245128
2005-07,2005,7,2005-07-01,2121,2949,5070,5247163
2005-08,2005,8,2005-08-01,2158,2993,5151,5249376
2005-09,2005,9,2005-09-01,2155,2836,4991,5251407
2005-10,2005,10,2005-10-01,2052,2740,4792,5253234
2005-11,2005,11,2005-11-01,1869,2569,4438,5254507
2005-12,2005,12,2005-12-01,2038,2579,4617,5255580
2006-01,2006,1,2006-01-01,2021,2847,4868,5256850
2006-02,2006,2,2006-02-01,1926,2691,4617,5258403
2006-03,2006,3,2006-03-01,2088,3082,5170,5260133
2006-04,2006,4,2006-04-01,2014,2900,4914,5261607
2006-05,2006,5,2006-05-01,2042,2957,4999,5263686
2006-06,2006,6,2006-06-01,2172,2857,5029,5266026
2006-07,2006,7,2006-07-01,2091,2946,5037,5268406
2006-08,2006,8,2006-08-01,2274,2893,5167,5270465
2006-09,2006,9,2006-09-01,2147,2828,4975,5272704
2006-10,2006,10,2006-10-01,2149,2750,4899,5274259
2006-11,2006,11,2006-11-01,1994,2692,4686,5275614
2006-12,2006,12,2006-12-01,1886,2593,4479,5276955
2007-01,2007,1,2007-01-01,2091,2918,5009,5278371
2007-02,2007,2,2007-02-01,1910,2555,4465,5279335
2007-03,2007,3,2007-03-01,2097,2982,5079,5280543
2007-04,2007,4,2007-04-01,1918,2988,4906,5282127
2007-05,2007,5,2007-05-01,2132,3043,5175,5284508
2007-06,2007,6,2007-06-01,2027,2851,4878,5286856
2007-07,2007,7,2007-07-01,2115,2934,5049,5289418
2007-08,2007,8,2007-08-01,2186,3005,5191,5292102
2007-09,2007,9,2007-09-01,2059,2862,4921,5294601
2007-10,2007,10,2007-10-01,2099,2787,4886,5296841
2007-11,2007,11,2007-11-01,1976,2622,4598,5298736
2007-12,2007,12,2007-12-01,2001,2571,4572,5300484
2008-01,2008,1,2008-01-01,2033,2991,5024,5302535
2008-02,2008,2,2008-02-01,1999,2838,4837,5304319
2008-03,2008,3,2008-03-01,2063,3032,5095,5306060
2008-04,2008,4,2008-04-01,2041,2993,5034,5308282
2008-05,2008,5,2008-05-01,2071,2910,4981,5310551
2008-06,2008,6,2008-06-01,2023,2957,4980,5313132
2008-07,2008,7,2008-07-01,2204,3054,5258,5316107
2008-08,2008,8,2008-08-01,2185,2938,5123,5318221
2008-09,2008,9,2008-09-01,2147,2884,5031,5321080
2008-10,2008,10,2008-10-01,2153,2849,5002,5323353
2008-11,2008,11,2008-11-01,2035,2569,4604,5325088
2008-12,2008,12,2008-12-01,1929,2632,4561,5326314
2009-01,2009,1,2009-01-01,2105,2935,5040,5327873
2009-02,2009,2,2009-02-01,1908,2660,4568,5329200
2009-03,2009,3,2009-03-01,2157,3027,5184,5330922
2009-04,2009,4,2009-04-01,2131,2982,5113,5332996
2009-05,2009,5,2009-05-01,2111,2941,5052,5335040
2009-06,2009,6,2009-06-01,2188,2933,5121,5337489
2009-07,2009,7,2009-07-01,2247,3080,5327,5340501
2009-08,2009,8,2009-08-01,2223,3100,5323,5343287
2009-09,2009,9,2009-09-01,2170,2960,5130,5346310
2009-10,2009,10,2009-10-01,2090,2912,5002,5348316
2009-11,2009,11,2009-11-01,2047,2675,4722,5349941
2009-12,2009,12,2009-12-01,2042,2806,4848,5351427
2010-01,2010,1,2010-01-01,2088,2919,5007,5352647
2010-02,2010,2,2010-02-01,2022,2711,4733,5354244
2010-03,2010,3,2010-03-01,2231,3066,5297,5356143
2010-04,2010,4,2010-04-01,1994,2962,4956,5357929
2010-05,2010,5,2010-05-01,2087,3008,5095,5360076
2010-06,2010,6,2010-06-01,2098,3013,5111,5362477
2010-07,2010,7,2010-07-01,2381,3060,5441,5364954
2010-08,2010,8,2010-08-01,2220,3052,5272,5367650
2010-09,2010,9,2010-09-01,2188,3092,5280,5370313
2010-10,2010,10,2010-10-01,2215,3036,5251,5372434
2010-11,2010,11,2010-11-01,2023,2693,4716,5374191
2010-12,2010,12,2010-12-01,2006,2815,4821,5375276
2011-01,2011,1,2011-01-01,2140,2930,5070,5376728
