time,value,n
2006-01-01,18.5,2
2006-02-01,23.5,4
2006-03-01,0,5
2006-04-01,0,6
2006-05-01,0,7
2006-06-01,0,8
2006-07-01,13.222222222222221,9
2006-08-01,80,10
2006-09-01,8.181818181818182,11
2006-10-01,3.3333333333333335,12
2006-11-01,0,13
2006-12-01,19.571428571428573,14
2007-01-01,14.933333333333334,15
2007-02-01,18.5,16
2007-03-01,0,16
2007-04-01,0,16
2007-05-01,0,16
2007-06-01,16.875,16
2007-07-01,2.25,16
2007-08-01,12.125,16
2007-09-01,1.875,16
2007-10-01,29.624999999999996,16
2007-11-01,0,16
2007-12-01,3.375,16
2008-01-01,0,16
2008-02-01,21.625,16
2008-03-01,34.25,16
2008-04-01,3,16
2008-05-01,0,16
2008-06-01,3,16
2008-07-01,31.875,16
2008-08-01,0,16
2008-09-01,43,16
2008-10-01,1.875,16
2008-11-01,0,16
2008-12-01,11.25,16
2009-01-01,33.625,16
2009-02-01,33,16
2009-03-01,23.25,16
2009-04-01,29.5,16
2009-05-01,20.625,16
2009-06-01,2.25,16
2009-07-01,37.25,16
2009-08-01,1.75,16
2009-09-01,46.5,16
2009-10-01,47.625,16
2009-11-01,24.5,16
2009-12-01,31.75,16
2010-01-01,66.25,16
2010-02-01,25,16
2010-03-01,17.375,16
2010-04-01,52.75,16
2010-05-01,39.375,16
2010-06-01,47.625,16
2010-07-01,37.5,16
2010-08-01,42.125,16
2010-09-01,27.125,16
2010-10-01,26.875,16
2010-11-01,19.875,16
2010-12-01,36.75,16
2011-01-01,40.5,16
2011-02-01,40.5,16
2011-03-01,43.375,16
2011-04-01,34.25,16
2011-05-01,26.875,16
2011-06-01,33,16
2011-07-01,15,16
2011-08-01,44,16
2011-09-01,38,16
2011-10-01,46,16
2011-11-01,29.375,16
2011-12-01,59.25,16
2012-01-01,43.125,16
2012-02-01,50.875,16
2012-03-01,38.375,16
2012-04-01,23.125,16
2012-05-01,21.125,16
2012-06-01,40.375,16
2012-07-01,37.25,16
2012-08-01,26,16
2012-09-01,39.375,16
2012-10-01,38.375,16
2012-11-01,51.75,16
2012-12-01,26.125,16
2013-01-01,45.75,16
2013-02-01,35.375,16
2013-03-01,23.625,16
2013-04-01,36.625,16
2013-05-01,21.75,16
2013-06-01,31.5,16
2013-07-01,35.875,16
2013-08-01,31.875,16
2013-09-01,46.125,16
2013-10-01,33.25,16
2013-11-01,49.375,16
2013-12-01,45.375,16
2014-01-01,57.875,16
2014-02-01,38.375,16
2014-03-01,33,16
2014-04-01,31.875,16
2014-05-01,17.125,16
2014-06-01,33.875,16
2014-07-01,37.125,16
2014-08-01,53.5,16
2014-09-01,40.5,16
2014-10-01,40,16
2014-11-01,44.875,16
2014-12-01,46.125,16
2015-01-01,52.625,16
2015-02-01,39.5,16
2015-03-01,32,16
2015-04-01,36.5,16
2015-05-01,35.125,16
2015-06-01,28.25,16
2015-07-01,47.125,16
2015-08-01,51.625,16
2015-09-01,45.25,16
2015-10-01,51.75,16
2015-11-01,32.75,16
2015-12-01,36.875,16
2016-01-01,44,16
2016-02-01,44.375,16
2016-03-01,27.75,16
2016-04-01,41,16
2016-05-01,31.875,16
2016-06-01,54,16
2016-07-01,40.625,16
2016-08-01,40.75,16
2016-09-01,50.625,16
2016-10-01,31.375,16
2016-11-01,46.5,16
2016-12-01,27.25,16
2017-01-01,56.125,16
2017-02-01,50.875,16
2017-03-01,43.375,16
2017-04-01,69.125,16
2017-05-01,44.375,16
2017-06-01,40,16
2017-07-01,53.125,16
2017-08-01,54.375,16
2017-09-01,48.875,16
2017-10-01,47.875,16
2017-11-01,41.375,16
2017-12-01,46.875,16
2018-01-01,38.875,16
2018-02-01,33.25,16
2018-03-01,35.75,16
2018-04-01,45.75,16
2018-05-01,26.25,16
2018-06-01,40.375,16
2018-07-01,42.125,16
2018-08-01,33.125,16
2018-09-01,47.375,16
2018-10-01,34.625,16
2018-11-01,30.875,16
2018-12-01,35.75,16
2019-01-01,60.75,16
2019-02-01,34.125,16
2019-03-01,38.875,16
2019-04-01,16.125,16
2019-05-01,47.25,16
2019-06-01,38.25,16
2019-07-01,46.875,16
2019-08-01,52.625,16
2019-09-01,39.875,16
2019-10-01,43.125,16
2019-11-01,43.625,16
2019-12-01,25.625,16
2020-01-01,40.75,16
2020-02-01,44.25,16
2020-03-01,23.875,16
2020-04-01,34.875,16
2020-05-01,41.75,16
2020-06-01,50.125,16
2020-07-01,35.875,16
2020-08-01,33.25,16
2020-09-01,57.875,16
2020-10-01,44.625,16
2020-11-01,38.125,16
2020-12-01,28.875,16
2021-01-01,50.75,16
2021-02-01,35.46666666666667,15
2021-03-01,51.285714285714285,14
2021-04-01,44.07692307692308,13
2021-05-01,50.5,12
2021-06-01,44.18181818181818,11
2021-07-01,58.6,10
2021-08-01,55.77777777777778,9
2021-09-01,28.25,8
2021-10-01,77.14285714285714,7
2021-11-01,51,6
2021-12-01,34,5
2022-01-01,59,4
2022-02-01,60.333333333333336,3
2022-03-01,50,2
2022-04-01,62,2
2022-05-01,47,2
2022-06-01,26,2
2022-07-01,49,2
2022-08-01,36,2
2022-09-01,33,2
2022-10-01,34,2
2022-11-01,48,2
