time,value,n
2006-01-01,75,1
2006-01-08,0,1
2006-01-15,0,1
2006-01-22,0,1
2006-01-29,0,1
2006-02-05,0,1
2006-02-12,57,1
2006-02-19,33,1
2006-02-26,0,1
2006-03-05,37,1
2006-03-12,0,1
2006-03-19,0,2
2006-03-26,0,2
2006-04-02,0,2
2006-04-09,0,2
2006-04-16,0,2
2006-04-23,0,2
2006-04-30,51,2
2006-05-07,0,2
2006-05-14,0,2
2006-05-21,0,2
2006-05-28,0,2
2006-06-04,0,3
2006-06-11,0,3
2006-06-18,0,3
2006-06-25,0,3
2006-07-02,100,3
2006-07-09,0,3
2006-07-16,0,3
2006-07-23,0,3
2006-07-30,39,3
2006-08-06,0,3
2006-08-13,0,3
2006-08-20,0,4
2006-08-27,0,4
2006-09-03,69,4
2006-09-10,82,4
2006-09-17,0,4
2006-09-24,0,4
2006-10-01,0,4
2006-10-08,0,4
2006-10-15,57.25,4
2006-10-22,0,4
2006-10-29,0,4
2006-11-05,0,5
2006-11-12,0,5
2006-11-19,0,5
2006-11-26,0,5
2006-12-03,0,5
2006-12-10,0,5
2006-12-17,0,5
2006-12-24,0,5
2006-12-31,0,5
2007-01-07,38.6,5
2007-01-14,0,5
2007-01-21,0,6
2007-01-28,0,6
2007-02-04,0,6
2007-02-11,0,6
2007-02-18,0,6
2007-02-25,0,6
2007-03-04,0,6
2007-03-11,0,6
2007-03-18,0,6
2007-03-25,52.333333333333336,6
2007-04-01,0,6
2007-04-08,0,7
2007-04-15,0,7
2007-04-22,0,7
2007-04-29,0,7
2007-05-06,0,7
2007-05-13,0,7
2007-05-20,0,7
2007-05-27,0,7
2007-06-03,0,7
2007-06-10,0,7
2007-06-17,0,7
2007-06-24,0,8
2007-07-01,0,8
2007-07-08,0,8
2007-07-15,0,8
2007-07-22,0,8
2007-07-29,0,8
2007-08-05,0,8
2007-08-12,28.75,8
2007-08-19,30.375,8
2007-08-26,0,8
2007-09-02,0,8
2007-09-09,0,9
2007-09-16,28.444444444444443,9
2007-09-23,0,9
2007-09-30,43.666666666666664,9
2007-10-07,28.444444444444443,9
2007-10-14,0,9
2007-10-21,0,9
2007-10-28,0,9
2007-11-04,0,9
2007-11-11,33.666666666666664,9
2007-11-18,42.111111111111114,9
2007-11-25,0,10
2007-12-02,0,10
2007-12-09,34.3,10
2007-12-16,0,10
2007-12-23,0,10
2007-12-30,40.2,10
2008-01-06,0,10
2008-01-13,35.9,10
2008-01-20,0,10
2008-01-27,0,10
2008-02-03,0,10
2008-02-10,43.18181818181818,11
2008-02-17,66,11
2008-02-24,0,11
2008-03-02,0,11
2008-03-09,0,11
2008-03-16,0,11
2008-03-23,0,11
2008-03-30,25.181818181818183,11
2008-04-06,0,11
2008-04-13,0,11
2008-04-20,0,11
2008-04-27,0,12
2008-05-04,0,12
2008-05-11,0,12
2008-05-18,0,12
2008-05-25,0,12
2008-06-01,37.666666666666664,12
2008-06-08,0,12
2008-06-15,74.66666666666667,12
2008-06-22,0,12
2008-06-29,0,12
2008-07-06,0,12
2008-07-13,0,13
2008-07-20,88.76923076923077,13
2008-07-27,0,13
2008-08-03,0,13
2008-08-10,0,13
2008-08-17,0,13
2008-08-24,0,13
2008-08-31,27.46153846153846,13
2008-09-07,0,13
2008-09-14,26.692307692307693,13
2008-09-21,25.692307692307693,13
2008-09-28,0,14
2008-10-05,0,14
2008-10-12,0,14
2008-10-19,0,14
2008-10-26,40.57142857142857,14
2008-11-02,0,14
2008-11-09,0,14
2008-11-16,0,14
2008-11-23,0,14
2008-11-30,0,14
2008-12-07,36.285714285714285,14
2008-12-14,0,15
2008-12-21,49.6,15
2008-12-28,0,15
2009-01-04,0,15
2009-01-11,31.066666666666663,15
2009-01-18,30.066666666666663,15
2009-01-25,0,15
2009-02-01,0,15
2009-02-08,0,15
2009-02-15,0,15
2009-02-22,46.666666666666664,15
2009-03-01,0,16
2009-03-08,0,16
2009-03-15,0,16
2009-03-22,0,16
2009-03-29,0,16
2009-04-05,0,16
2009-04-12,0,16
2009-04-19,70.625,16
2009-04-26,0,16
2009-05-03,0,16
2009-05-10,0,16
2009-05-17,0,17
2009-05-24,0,17
2009-05-31,0,17
2009-06-07,47.76470588235294,17
2009-06-14,0,17
2009-06-21,0,17
2009-06-28,0,17
2009-07-05,45,17
2009-07-12,0,17
2009-07-19,44.1764705882353,17
2009-07-26,0,17
2009-08-02,41.833333333333336,18
2009-08-09,0,18
2009-08-16,26.666666666666668,18
2009-08-23,0,18
2009-08-30,30.27777777777778,18
2009-09-06,0,18
2009-09-13,0,18
2009-09-20,0,18
2009-09-27,19,18
2009-10-04,39.05555555555556,18
2009-10-11,54.94444444444444,18
2009-10-18,57.73684210526316,19
2009-10-25,0,19
2009-11-01,0,19
2009-11-08,0,19
2009-11-15,0,19
2009-11-22,0,19
2009-11-29,42.21052631578947,19
2009-12-06,41.89473684210526,19
2009-12-13,0,19
2009-12-20,0,19
2009-12-27,0,19
2010-01-03,71.3,20
2010-01-10,78.3,20
2010-01-17,0,20
2010-01-24,0,20
2010-01-31,0,20
2010-02-07,0,20
2010-02-14,26.1,20
2010-02-21,0,20
2010-02-28,25.25,20
2010-03-07,0,20
2010-03-14,0,20
2010-03-21,0,21
2010-03-28,0,21
2010-04-04,28.142857142857142,21
2010-04-11,0,21
2010-04-18,0,21
2010-04-25,34.57142857142857,21
2010-05-02,0,21
2010-05-09,24.428571428571427,21
2010-05-16,41.857142857142854,21
2010-05-23,0,21
2010-05-30,0,21
2010-06-06,0,22
2010-06-13,0,22
2010-06-20,0,22
2010-06-27,37.04545454545455,22
2010-07-04,34.36363636363637,22
2010-07-11,0,22
2010-07-18,0,22
2010-07-25,48.22727272727273,22
2010-08-01,49.63636363636363,22
2010-08-08,0,22
2010-08-15,0,22
2010-08-22,0,23
2010-08-29,18.652173913043477,23
2010-09-05,40.56521739130435,23
2010-09-12,0,23
2010-09-19,0,23
2010-09-26,34.56521739130435,23
2010-10-03,19.652173913043477,23
2010-10-10,78.3913043478261,23
2010-10-17,17.217391304347824,23
2010-10-24,0,23
2010-10-31,24.73913043478261,23
2010-11-07,30.083333333333332,24
2010-11-14,0,24
2010-11-21,65.20833333333333,24
2010-11-28,0,24
2010-12-05,19.708333333333332,24
2010-12-12,20.583333333333332,24
2010-12-19,30.458333333333332,24
2010-12-26,24.291666666666668,24
2011-01-02,46.30434782608695,23
2011-01-09,20.043478260869566,23
2011-01-16,38.130434782608695,23
2011-01-23,24.458333333333332,24
2011-01-30,28.333333333333332,24
2011-02-06,17.25,24
2011-02-13,19.166666666666668,24
2011-02-20,46.5,24
2011-02-27,36.416666666666664,24
2011-03-06,0,24
2011-03-13,19.166666666666668,24
2011-03-20,18.52173913043478,23
2011-03-27,0,23
2011-04-03,33.21739130434783,23
2011-04-10,0,24
2011-04-17,37.25,24
2011-04-24,51.958333333333336,24
2011-05-01,71.54166666666667,24
2011-05-08,0,24
2011-05-15,0,24
2011-05-22,0,24
2011-05-29,0,24
2011-06-05,0,23
2011-06-12,0,23
2011-06-19,27.434782608695652,23
2011-06-26,0,24
2011-07-03,18,24
2011-07-10,0,24
2011-07-17,0,24
2011-07-24,0,24
2011-07-31,0,24
2011-08-07,33.458333333333336,24
2011-08-14,25.916666666666668,24
2011-08-21,55.65217391304348,23
2011-08-28,0,23
2011-09-04,23.217391304347824,23
2011-09-11,0,24
2011-09-18,0,24
2011-09-25,0,24
2011-10-02,16.25,24
2011-10-09,29.875,24
2011-10-16,29.875,24
2011-10-23,0,24
2011-10-30,82,24
2011-11-06,0,23
2011-11-13,25.304347826086957,23
2011-11-20,0,23
2011-11-27,38.666666666666664,24
2011-12-04,31,24
2011-12-11,34,24
2011-12-18,34.666666666666664,24
2011-12-25,35.666666666666664,24
2012-01-01,33,24
2012-01-08,22.333333333333332,24
2012-01-15,0,24
2012-01-22,31.08695652173913,23
2012-01-29,28.08695652173913,23
2012-02-05,14.695652173913048,23
2012-02-12,17.708333333333332,24
2012-02-19,97.08333333333331,24
2012-02-26,28.125,24
2012-03-04,0,24
2012-03-11,16.416666666666668,24
2012-03-18,0,24
2012-03-25,33.125,24
2012-04-01,0,24
2012-04-08,0,24
2012-04-15,19.73913043478261,23
2012-04-22,0,23
2012-04-29,0,24
2012-05-06,13,24
2012-05-13,17.833333333333332,24
2012-05-20,36.958333333333336,24
2012-05-27,0,24
2012-06-03,0,24
2012-06-10,0,24
2012-06-17,0,24
2012-06-24,0,24
2012-07-01,32,23
2012-07-08,19.956521739130434,23
2012-07-15,29.458333333333332,24
2012-07-22,35.791666666666664,24
2012-07-29,43.833333333333336,24
2012-08-05,24.5,24
2012-08-12,29.458333333333332,24
2012-08-19,0,24
2012-08-26,35.791666666666664,24
2012-09-02,31.541666666666668,24
2012-09-09,0,24
2012-09-16,27.52173913043478,23
2012-09-23,37.78260869565217,23
2012-09-30,33.25,24
2012-10-07,17.541666666666668,24
2012-10-14,39.458333333333336,24
2012-10-21,58.416666666666664,24
2012-10-28,31.25,24
2012-11-04,39.75,24
2012-11-11,12.583333333333334,24
2012-11-18,23.916666666666668,24
2012-11-25,19.791666666666668,24
2012-12-02,0,23
2012-12-09,41.82608695652174,23
2012-12-16,0,24
2012-12-23,56.375,24
2012-12-30,27.75,24
2013-01-06,0,24
2013-01-13,0,24
2013-01-20,50.166666666666664,24
2013-01-27,0,24
2013-02-03,42.5,24
2013-02-10,25.583333333333332,24
2013-02-17,34.34782608695652,23
2013-02-24,20.39130434782609,23
2013-03-03,0,24
2013-03-10,73.875,24
2013-03-17,16.375,24
2013-03-24,0,24
2013-03-31,47.833333333333336,24
2013-04-07,0,24
2013-04-14,25.125,24
2013-04-21,30.541666666666668,24
2013-04-28,0,23
2013-05-05,0,23
2013-05-12,49.130434782608695,23
2013-05-19,13.458333333333334,24
2013-05-26,24.416666666666668,24
2013-06-02,0,24
2013-06-09,18.916666666666668,24
2013-06-16,19.916666666666668,24
2013-06-23,0,24
2013-06-30,0,24
2013-07-07,0,24
2013-07-14,0,23
2013-07-21,35.65217391304348,23
2013-07-28,17.08695652173913,23
2013-08-04,23.916666666666668,24
2013-08-11,0,24
2013-08-18,30.5,24
2013-08-25,21.333333333333332,24
2013-09-01,0,24
