time,value,n
2006-01-01,40.333333333333336,3
2006-02-01,97.33333333333333,6
2006-03-01,5.428571428571429,7
2006-04-01,37,8
2006-05-01,68.77777777777777,9
2006-06-01,11,10
2006-07-01,67.36363636363636,11
2006-08-01,63.333333333333336,12
2006-09-01,84.46153846153847,13
2006-10-01,33.57142857142857,14
2006-11-01,47.333333333333336,15
2006-12-01,43.375,16
2007-01-01,53.35294117647059,17
2007-02-01,41.888888888888886,18
2007-03-01,52.333333333333336,18
2007-04-01,35.44444444444444,18
2007-05-01,76.66666666666667,18
2007-06-01,69.44444444444444,18
2007-07-01,5.666666666666667,18
2007-08-01,44.666666666666664,18
2007-09-01,41.55555555555556,18
2007-10-01,37,18
2007-11-01,32.55555555555556,18
2007-12-01,34,18
2008-01-01,50.333333333333336,18
2008-02-01,48.77777777777778,18
2008-03-01,56.888888888888886,18
2008-04-01,10.333333333333334,18
2008-05-01,72.66666666666667,18
2008-06-01,49.44444444444444,18
2008-07-01,43.77777777777778,18
2008-08-01,40.333333333333336,18
2008-09-01,33.55555555555556,18
2008-10-01,4,18
2008-11-01,40.888888888888886,18
2008-12-01,38.22222222222222,18
2009-01-01,67.66666666666667,18
2009-02-01,77.66666666666667,18
2009-03-01,76,18
2009-04-01,26.22222222222222,18
2009-05-01,25.666666666666668,18
2009-06-01,36.77777777777778,18
2009-07-01,51.44444444444444,18
2009-08-01,42.666666666666664,18
2009-09-01,62.77777777777778,18
2009-10-01,66,18
2009-11-01,71,18
2009-12-01,42.22222222222222,18
2010-01-01,50.333333333333336,18
2010-02-01,69.66666666666667,18
2010-03-01,48.888888888888886,18
2010-04-01,53.55555555555556,18
2010-05-01,51.55555555555556,18
2010-06-01,34.888888888888886,18
2010-07-01,31,18
2010-08-01,54.77777777777778,18
2010-09-01,41.888888888888886,18
2010-10-01,60.55555555555556,18
2010-11-01,40.333333333333336,18
2010-12-01,60.22222222222222,18
2011-01-01,53,18
2011-02-01,46.333333333333336,18
2011-03-01,60.888888888888886,18
2011-04-01,35.55555555555556,18
2011-05-01,33.666666666666664,18
2011-06-01,30.77777777777778,18
2011-07-01,48.22222222222222,18
2011-08-01,53.55555555555556,18
2011-09-01,66.44444444444444,18
2011-10-01,39.55555555555556,18
2011-11-01,43.77777777777778,18
2011-12-01,34.77777777777778,18
2012-01-01,38,18
2012-02-01,86.33333333333333,18
2012-03-01,87.33333333333333,18
2012-04-01,49.333333333333336,18
2012-05-01,52.22222222222222,18
2012-06-01,29.11111111111111,18
2012-07-01,43.333333333333336,18
2012-08-01,51.44444444444444,18
2012-09-01,65,18
2012-10-01,33.666666666666664,18
2012-11-01,28.77777777777778,18
2012-12-01,30.666666666666668,18
2013-01-01,65,18
2013-02-01,57,18
2013-03-01,55.44444444444444,18
2013-04-01,47.666666666666664,18
2013-05-01,37,18
2013-06-01,56.55555555555556,18
2013-07-01,53.111111111111114,18
2013-08-01,69,18
2013-09-01,49.111111111111114,18
2013-10-01,51.111111111111114,18
2013-11-01,79.11111111111111,18
2013-12-01,55.55555555555556,18
2014-01-01,65.77777777777777,18
2014-02-01,64.77777777777777,18
2014-03-01,49.55555555555556,18
2014-04-01,61.22222222222222,18
2014-05-01,47.111111111111114,18
2014-06-01,32.77777777777778,18
2014-07-01,38.22222222222222,18
2014-08-01,72.88888888888889,18
2014-09-01,52,18
2014-10-01,72.11111111111111,18
2014-11-01,62.888888888888886,18
2014-12-01,67,18
2015-01-01,73.44444444444444,18
2015-02-01,56.77777777777778,18
2015-03-01,62,18
2015-04-01,60,18
2015-05-01,67.44444444444444,18
2015-06-01,60.77777777777778,18
2015-07-01,45,18
2015-08-01,73.11111111111111,18
2015-09-01,72.66666666666667,18
2015-10-01,72.22222222222223,18
2015-11-01,50.44444444444444,18
2015-12-01,45.888888888888886,18
2016-01-01,53.77777777777778,18
2016-02-01,69.11111111111111,18
2016-03-01,54.22222222222222,18
2016-04-01,58.44444444444444,18
2016-05-01,89.66666666666667,18
2016-06-01,47.111111111111114,18
2016-07-01,51.55555555555556,18
2016-08-01,56.77777777777778,18
2016-09-01,52,18
2016-10-01,36,18
2016-11-01,34,18
2016-12-01,43.55555555555556,18
2017-01-01,82.66666666666667,18
2017-02-01,64.77777777777777,18
2017-03-01,43.44444444444444,18
2017-04-01,43.44444444444444,18
2017-05-01,60.888888888888886,18
2017-06-01,55.77777777777778,18
2017-07-01,51.77777777777778,18
2017-08-01,46.111111111111114,18
2017-09-01,55,18
2017-10-01,64.33333333333333,18
2017-11-01,46,18
2017-12-01,29.444444444444443,18
2018-01-01,61.666666666666664,18
2018-02-01,57.55555555555556,18
2018-03-01,44.666666666666664,18
2018-04-01,40.333333333333336,18
2018-05-01,51.666666666666664,18
2018-06-01,39.55555555555556,18
2018-07-01,46.666666666666664,18
2018-08-01,46,18
2018-09-01,44,18
2018-10-01,48.55555555555556,18
2018-11-01,49.55555555555556,18
2018-12-01,30.555555555555557,18
2019-01-01,41.888888888888886,18
2019-02-01,63.44444444444444,18
2019-03-01,47.55555555555556,18
2019-04-01,57,18
2019-05-01,56.77777777777778,18
2019-06-01,31.88888888888889,18
2019-07-01,48.333333333333336,18
2019-08-01,59.44444444444444,18
2019-09-01,48.55555555555556,18
2019-10-01,50.77777777777778,18
2019-11-01,52.22222222222222,18
2019-12-01,45.44444444444444,18
2020-01-01,47.333333333333336,18
2020-02-01,49.333333333333336,18
2020-03-01,44.111111111111114,18
2020-04-01,61,18
2020-05-01,74.11111111111111,18
2020-06-01,78.33333333333333,18
2020-07-01,43.77777777777778,18
2020-08-01,64.22222222222223,18
2020-09-01,64.44444444444444,18
2020-10-01,63.333333333333336,18
2020-11-01,66.55555555555556,18
2020-12-01,62.55555555555556,18
2021-01-01,87.88888888888889,18
2021-02-01,46.411764705882355,17
2021-03-01,71.5,16
2021-04-01,52.6,15
2021-05-01,65.28571428571429,14
2021-06-01,40.23076923076923,13
2021-07-01,46.333333333333336,12
2021-08-01,45.54545454545455,11
2021-09-01,43.2,10
2021-10-01,65.88888888888889,9
2021-11-01,41.75,8
2021-12-01,43.57142857142857,7
2022-01-01,55.333333333333336,6
2022-02-01,45.6,5
2022-03-01,40.5,4
2022-04-01,40,4
2022-05-01,48,4
2022-06-01,52,4
2022-07-01,32,4
2022-08-01,57,4
2022-09-01,45.5,4
2022-10-01,45,4
2022-11-01,68.5,4
