time,value,n
2006-01-01,65,1
2006-01-08,0,1
2006-01-15,31,1
2006-01-22,0,1
2006-01-29,0,1
2006-02-05,32,1
2006-02-12,0,1
2006-02-19,0,1
2006-02-26,100,1
2006-03-05,0,1
2006-03-12,0,1
2006-03-19,0,2
2006-03-26,0,2
2006-04-02,0,2
2006-04-09,0,2
2006-04-16,0,2
2006-04-23,0,2
2006-04-30,0,2
2006-05-07,42,2
2006-05-14,0,2
2006-05-21,28,2
2006-05-28,0,2
2006-06-04,29.666666666666668,3
2006-06-11,0,3
2006-06-18,0,3
2006-06-25,0,3
2006-07-02,45.333333333333336,3
2006-07-09,56,3
2006-07-16,52,3
2006-07-23,0,3
2006-07-30,66,3
2006-08-06,0,3
2006-08-13,0,3
2006-08-20,0,4
2006-08-27,0,4
2006-09-03,0,4
2006-09-10,0,4
2006-09-17,0,4
2006-09-24,0,4
2006-10-01,35.5,4
2006-10-08,0,4
2006-10-15,0,4
2006-10-22,0,4
2006-10-29,0,4
2006-11-05,47.4,5
2006-11-12,0,5
2006-11-19,0,5
2006-11-26,89.4,5
2006-12-03,0,5
2006-12-10,0,5
2006-12-17,0,5
2006-12-24,0,5
2006-12-31,0,5
2007-01-07,0,5
2007-01-14,0,5
2007-01-21,21.333333333333332,6
2007-01-28,0,6
2007-02-04,36.5,6
2007-02-11,0,6
2007-02-18,0,6
2007-02-25,38.5,6
2007-03-04,37.333333333333336,6
2007-03-11,49.166666666666664,6
2007-03-18,38.5,6
2007-03-25,22.166666666666668,6
2007-04-01,0,6
2007-04-08,0,7
2007-04-15,0,7
2007-04-22,0,7
2007-04-29,0,7
2007-05-06,0,7
2007-05-13,67.71428571428571,7
2007-05-20,37.285714285714285,7
2007-05-27,0,7
2007-06-03,48.42857142857143,7
2007-06-10,0,7
2007-06-17,0,7
2007-06-24,68.75,8
2007-07-01,0,8
2007-07-08,0,8
2007-07-15,0,8
2007-07-22,80.5,8
2007-07-29,0,8
2007-08-05,40,8
2007-08-12,0,8
2007-08-19,0,8
2007-08-26,0,8
2007-09-02,52.375,8
2007-09-09,0,9
2007-09-16,0,9
2007-09-23,0,9
2007-09-30,0,9
2007-10-07,55.333333333333336,9
2007-10-14,51.111111111111114,9
2007-10-21,34.666666666666664,9
2007-10-28,0,9
2007-11-04,24.88888888888889,9
2007-11-11,0,9
2007-11-18,40.888888888888886,9
2007-11-25,24.6,10
2007-12-02,20.7,10
2007-12-09,0,10
2007-12-16,0,10
2007-12-23,72.2,10
2007-12-30,0,10
2008-01-06,0,10
2008-01-13,0,10
2008-01-20,46.2,10
2008-01-27,0,10
2008-02-03,0,10
2008-02-10,0,11
2008-02-17,36.45454545454545,11
2008-02-24,52.90909090909091,11
2008-03-02,0,11
2008-03-09,0,11
2008-03-16,0,11
2008-03-23,31.818181818181817,11
2008-03-30,0,11
2008-04-06,24.454545454545453,11
2008-04-13,35,11
2008-04-20,31.818181818181817,11
2008-04-27,0,12
2008-05-04,65.08333333333333,12
2008-05-11,54.75,12
2008-05-18,0,12
2008-05-25,43.416666666666664,12
2008-06-01,24.833333333333332,12
2008-06-08,45.583333333333336,12
2008-06-15,0,12
2008-06-22,33.083333333333336,12
2008-06-29,56,12
2008-07-06,0,12
2008-07-13,0,13
2008-07-20,0,13
2008-07-27,26.76923076923077,13
2008-08-03,0,13
2008-08-10,24.23076923076923,13
2008-08-17,0,13
2008-08-24,24.846153846153847,13
2008-08-31,26.76923076923077,13
2008-09-07,0,13
2008-09-14,0,13
2008-09-21,0,13
2008-09-28,0,14
2008-10-05,0,14
2008-10-12,0,14
2008-10-19,0,14
2008-10-26,32.92857142857143,14
2008-11-02,0,14
2008-11-09,34.142857142857146,14
2008-11-16,0,14
2008-11-23,32,14
2008-11-30,25.428571428571427,14
2008-12-07,35.5,14
2008-12-14,0,15
2008-12-21,0,15
2008-12-28,54.666666666666664,15
2009-01-04,0,15
2009-01-11,32.53333333333333,15
2009-01-18,0,15
2009-01-25,0,15
2009-02-01,0,15
2009-02-08,16.866666666666667,15
2009-02-15,54.666666666666664,15
2009-02-22,29.933333333333334,15
2009-03-01,0,16
2009-03-08,88.875,16
2009-03-15,34.5625,16
2009-03-22,17,16
2009-03-29,50.5625,16
2009-04-05,0,16
2009-04-12,0,16
2009-04-19,0,16
2009-04-26,86.0625,16
2009-05-03,31.6875,16
2009-05-10,0,16
2009-05-17,0,17
2009-05-24,35.11764705882353,17
2009-05-31,0,17
2009-06-07,0,17
2009-06-14,43.1764705882353,17
2009-06-21,24.294117647058822,17
2009-06-28,0,17
2009-07-05,0,17
2009-07-12,36.588235294117645,17
2009-07-19,0,17
2009-07-26,0,17
2009-08-02,0,18
2009-08-09,34.44444444444444,18
2009-08-16,30.11111111111111,18
2009-08-23,44.833333333333336,18
2009-08-30,46.27777777777778,18
2009-09-06,0,18
2009-09-13,24.5,18
2009-09-20,0,18
2009-09-27,29.88888888888889,18
2009-10-04,19.38888888888889,18
2009-10-11,41.833333333333336,18
2009-10-18,74.15789473684211,19
2009-10-25,26.473684210526315,19
2009-11-01,26.68421052631579,19
2009-11-08,0,19
2009-11-15,38.26315789473684,19
2009-11-22,0,19
2009-11-29,30.157894736842106,19
2009-12-06,28.42105263157895,19
2009-12-13,0,19
2009-12-20,49.36842105263158,19
2009-12-27,0,19
2010-01-03,0,20
2010-01-10,22.85,20
2010-01-17,0,20
2010-01-24,25,20
2010-01-31,26.9,20
2010-02-07,26.9,20
2010-02-14,0,20
2010-02-21,0,20
2010-02-28,20.15,20
2010-03-07,14.9,20
2010-03-14,18.4,20
2010-03-21,0,21
2010-03-28,29.80952380952381,21
2010-04-04,0,21
2010-04-11,50.095238095238095,21
2010-04-18,16.571428571428573,21
2010-04-25,50.333333333333336,21
2010-05-02,0,21
2010-05-09,0,21
2010-05-16,0,21
2010-05-23,66.28571428571429,21
2010-05-30,0,21
2010-06-06,20.40909090909091,22
2010-06-13,40,22
2010-06-20,39.04545454545455,22
2010-06-27,0,22
2010-07-04,45.09090909090909,22
2010-07-11,0,22
2010-07-18,26.318181818181817,22
2010-07-25,34.95454545454545,22
2010-08-01,42.04545454545455,22
2010-08-08,24.545454545454547,22
2010-08-15,0,22
2010-08-22,0,23
2010-08-29,21.130434782608695,23
2010-09-05,0,23
2010-09-12,0,23
2010-09-19,22.434782608695652,23
2010-09-26,47,23
2010-10-03,31.17391304347826,23
2010-10-10,0,23
2010-10-17,27.26086956521739,23
2010-10-24,60.17391304347826,23
2010-10-31,38.26086956521739,23
2010-11-07,0,24
2010-11-14,20.625,24
2010-11-21,18.833333333333332,24
2010-11-28,0,24
2010-12-05,41.708333333333336,24
2010-12-12,0,24
2010-12-19,0,24
2010-12-26,47.375,24
2011-01-02,27.82608695652174,23
2011-01-09,0,23
2011-01-16,18.82608695652174,23
2011-01-23,48.708333333333336,24
2011-01-30,23.25,24
2011-02-06,45,24
2011-02-13,33,24
2011-02-20,30.291666666666668,24
2011-02-27,0,24
2011-03-06,67.25,24
2011-03-13,60.083333333333336,24
2011-03-20,28.73913043478261,23
2011-03-27,42.608695652173914,23
2011-04-03,14.73913043478261,23
2011-04-10,23.958333333333332,24
2011-04-17,0,24
2011-04-24,0,24
2011-05-01,0,24
2011-05-08,0,24
2011-05-15,55.125,24
2011-05-22,40.208333333333336,24
2011-05-29,0,24
2011-06-05,22.217391304347824,23
2011-06-12,0,23
2011-06-19,25.695652173913043,23
2011-06-26,23.291666666666668,24
2011-07-03,18.916666666666668,24
2011-07-10,0,24
2011-07-17,0,24
2011-07-24,22.375,24
2011-07-31,0,24
2011-08-07,0,24
2011-08-14,36.833333333333336,24
2011-08-21,26.52173913043478,23
2011-08-28,22.08695652173913,23
2011-09-04,28.52173913043478,23
2011-09-11,50.708333333333336,24
2011-09-18,0,24
2011-09-25,33.5,24
2011-10-02,95.625,24
2011-10-09,23.125,24
2011-10-16,20.166666666666668,24
2011-10-23,0,24
2011-10-30,18.291666666666668,24
2011-11-06,34.91304347826087,23
2011-11-13,0,23
2011-11-20,23.391304347826086,23
2011-11-27,0,24
2011-12-04,20.25,24
2011-12-11,22.625,24
2011-12-18,0,24
2011-12-25,20.583333333333332,24
2012-01-01,22.625,24
2012-01-08,0,24
2012-01-15,31.208333333333332,24
2012-01-22,0,23
2012-01-29,19.608695652173914,23
2012-02-05,37.26086956521739,23
2012-02-12,20.833333333333332,24
2012-02-19,15.833333333333334,24
2012-02-26,22.916666666666668,24
2012-03-04,77.33333333333333,24
2012-03-11,40.666666666666664,24
2012-03-18,26.916666666666668,24
2012-03-25,30,24
2012-04-01,0,24
2012-04-08,0,24
2012-04-15,41.869565217391305,23
2012-04-22,0,23
2012-04-29,37.083333333333336,24
2012-05-06,27.875,24
2012-05-13,58.166666666666664,24
2012-05-20,23.208333333333332,24
2012-05-27,0,24
2012-06-03,0,24
2012-06-10,25.208333333333332,24
2012-06-17,34.083333333333336,24
2012-06-24,0,24
2012-07-01,23.17391304347826,23
2012-07-08,27.304347826086957,23
2012-07-15,0,24
2012-07-22,21.333333333333332,24
2012-07-29,0,24
