time,value,n
2006-01-01,21.5,4
2006-02-01,5.5,8
2006-03-01,44.22222222222222,9
2006-04-01,28.4,10
2006-05-01,13.090909090909092,11
2006-06-01,42.666666666666664,12
2006-07-01,50,13
2006-08-01,10.428571428571429,14
2006-09-01,14.266666666666667,15
2006-10-01,50.75,16
2006-11-01,14.352941176470589,17
2006-12-01,26.333333333333332,18
2007-01-01,41.526315789473685,19
2007-02-01,42.5,20
2007-03-01,62.5,20
2007-04-01,10,20
2007-05-01,1.7,20
2007-06-01,29.7,20
2007-07-01,34.6,20
2007-08-01,39.1,20
2007-09-01,5.9,20
2007-10-01,11.5,20
2007-11-01,29.3,20
2007-12-01,79.9,20
2008-01-01,23.3,20
2008-02-01,48.4,20
2008-03-01,19.9,20
2008-04-01,13.6,20
2008-05-01,24,20
2008-06-01,16.8,20
2008-07-01,5.4,20
2008-08-01,48.5,20
2008-09-01,6.5,20
2008-10-01,26.3,20
2008-11-01,36.9,20
2008-12-01,48.1,20
2009-01-01,52.5,20
2009-02-01,47.6,20
2009-03-01,48.1,20
2009-04-01,27.2,20
2009-05-01,21.8,20
2009-06-01,42.6,20
2009-07-01,59.2,20
2009-08-01,48.2,20
2009-09-01,53.5,20
2009-10-01,50.8,20
2009-11-01,54.9,20
2009-12-01,47.1,20
2010-01-01,50.1,20
2010-02-01,21.5,20
2010-03-01,42.9,20
2010-04-01,24.5,20
2010-05-01,37.7,20
2010-06-01,28.4,20
2010-07-01,47.6,20
2010-08-01,74,20
2010-09-01,39.9,20
2010-10-01,34.8,20
2010-11-01,19.2,20
2010-12-01,37.5,20
2011-01-01,28.5,20
2011-02-01,32.4,20
2011-03-01,43.6,20
2011-04-01,33.9,20
2011-05-01,33.7,20
2011-06-01,23.9,20
2011-07-01,17.5,20
2011-08-01,50.2,20
2011-09-01,25.2,20
2011-10-01,39.2,20
2011-11-01,31.3,20
2011-12-01,23.4,20
2012-01-01,46.6,20
2012-02-01,28.5,20
2012-03-01,24.3,20
2012-04-01,31.4,20
2012-05-01,34.1,20
2012-06-01,28.7,20
2012-07-01,32.4,20
2012-08-01,43.3,20
2012-09-01,33,20
2012-10-01,45.3,20
2012-11-01,48.9,20
2012-12-01,32,20
2013-01-01,41.1,20
2013-02-01,46.6,20
2013-03-01,49.7,20
2013-04-01,51.8,20
2013-05-01,47.9,20
2013-06-01,36.5,20
2013-07-01,36.9,20
2013-08-01,47.2,20
2013-09-01,55.1,20
2013-10-01,47.9,20
2013-11-01,42.4,20
2013-12-01,52.3,20
2014-01-01,51.3,20
2014-02-01,78.8,20
2014-03-01,44.1,20
2014-04-01,39.9,20
2014-05-01,37.5,20
2014-06-01,49.2,20
2014-07-01,60,20
2014-08-01,46.1,20
2014-09-01,45.4,20
2014-10-01,53.1,20
2014-11-01,80.8,20
2014-12-01,45.3,20
2015-01-01,42.3,20
2015-02-01,49.3,20
2015-03-01,49.7,20
2015-04-01,35.8,20
2015-05-01,41.9,20
2015-06-01,48,20
2015-07-01,50.7,20
2015-08-01,48.7,20
2015-09-01,54.3,20
2015-10-01,54,20
2015-11-01,54.3,20
2015-12-01,55.9,20
2016-01-01,57.8,20
2016-02-01,44.9,20
2016-03-01,56.9,20
2016-04-01,51.7,20
2016-05-01,41.5,20
2016-06-01,65,20
2016-07-01,40,20
2016-08-01,35.5,20
2016-09-01,46.9,20
2016-10-01,36.5,20
2016-11-01,41.6,20
2016-12-01,65,20
2017-01-01,61.6,20
2017-02-01,55.8,20
2017-03-01,41.4,20
2017-04-01,40.1,20
2017-05-01,47.3,20
2017-06-01,37,20
2017-07-01,53.4,20
2017-08-01,49.4,20
2017-09-01,44.8,20
2017-10-01,41,20
2017-11-01,56.3,20
2017-12-01,46.7,20
2018-01-01,46.3,20
2018-02-01,40.1,20
2018-03-01,46.7,20
2018-04-01,56.2,20
2018-05-01,36.1,20
2018-06-01,29.5,20
2018-07-01,29.8,20
2018-08-01,27.2,20
2018-09-01,40.7,20
2018-10-01,44.1,20
2018-11-01,45.4,20
2018-12-01,44.6,20
2019-01-01,42.7,20
2019-02-01,37,20
2019-03-01,55.6,20
2019-04-01,35.2,20
2019-05-01,45.1,20
2019-06-01,31.3,20
2019-07-01,30.3,20
2019-08-01,30.4,20
2019-09-01,40.8,20
2019-10-01,39.8,20
2019-11-01,39.6,20
2019-12-01,49.4,20
2020-01-01,51.1,20
2020-02-01,40.8,20
2020-03-01,31.9,20
2020-04-01,27.8,20
2020-05-01,36.2,20
2020-06-01,38.1,20
2020-07-01,57.2,20
2020-08-01,58.1,20
2020-09-01,42.3,20
2020-10-01,38.1,20
2020-11-01,43.6,20
2020-12-01,53.4,20
2021-01-01,38.8,20
2021-02-01,38.94736842105264,19
2021-03-01,41.77777777777778,18
2021-04-01,47.1764705882353,17
2021-05-01,37.75,16
2021-06-01,30.266666666666662,15
2021-07-01,42.42857142857143,14
2021-08-01,29.923076923076927,13
2021-09-01,33.166666666666664,12
2021-10-01,31.09090909090909,11
2021-11-01,20,10
2021-12-01,48.111111111111114,9
2022-01-01,38.75,8
2022-02-01,32.285714285714285,7
2022-03-01,32.333333333333336,6
2022-04-01,34,6
2022-05-01,28.666666666666668,6
2022-06-01,26.333333333333332,6
2022-07-01,29,6
2022-08-01,18.333333333333332,6
2022-09-01,32.666666666666664,6
2022-10-01,27,6
2022-11-01,42.666666666666664,6
