time,value,n
2006-01-01,57.1,10
2006-02-01,40.4,20
2006-03-01,52.95238095238095,21
2006-04-01,65.63636363636364,22
2006-05-01,66.65217391304348,23
2006-06-01,67.16666666666667,24
2006-07-01,68.16,25
2006-08-01,67.53846153846153,26
2006-09-01,61.18518518518518,27
2006-10-01,52,28
2006-11-01,53.96551724137931,29
2006-12-01,64.66666666666667,30
2007-01-01,62.225806451612904,31
2007-02-01,38.875,32
2007-03-01,40.875,32
2007-04-01,49.1875,32
2007-05-01,52.75,32
2007-06-01,58.875,32
2007-07-01,58.5625,32
2007-08-01,86.1875,32
2007-09-01,79.25,32
2007-10-01,69.375,32
2007-11-01,61.5625,32
2007-12-01,79.06250000000001,32
2008-01-01,78.62499999999999,32
2008-02-01,52,32
2008-03-01,58.75,32
2008-04-01,38.4375,32
2008-05-01,47.9375,32
2008-06-01,81.5,32
2008-07-01,54.1875,32
2008-08-01,63.75,32
2008-09-01,67.75000000000003,32
2008-10-01,66.875,32
2008-11-01,68.3125,32
2008-12-01,64.1875,32
2009-01-01,84.8125,32
2009-02-01,58.4375,32
2009-03-01,72.8125,32
2009-04-01,69.9375,32
2009-05-01,78.375,32
2009-06-01,75.3125,32
2009-07-01,96.6875,32
2009-08-01,62.3125,32
2009-09-01,65.5625,32
2009-10-01,92.5,32
2009-11-01,89.87499999999997,32
2009-12-01,55.0625,32
2010-01-01,60.5625,32
2010-02-01,65.0625,32
2010-03-01,77.9375,32
2010-04-01,68.8125,32
2010-05-01,80.5,32
2010-06-01,71.75,32
2010-07-01,76.6875,32
2010-08-01,67.1875,32
2010-09-01,88.12499999999999,32
2010-10-01,89.1875,32
2010-11-01,80.6875,32
2010-12-01,64.24999999999999,32
2011-01-01,73.4375,32
2011-02-01,69.0625,32
2011-03-01,64.125,32
2011-04-01,57.25,32
2011-05-01,85.875,32
2011-06-01,74.1875,32
2011-07-01,81.25,32
2011-08-01,70.625,32
2011-09-01,77.875,32
2011-10-01,92.56250000000003,32
2011-11-01,79.875,32
2011-12-01,70.3125,32
2012-01-01,86.9375,32
2012-02-01,68.1875,32
2012-03-01,76.25,32
2012-04-01,55.9375,32
2012-05-01,73.5625,32
2012-06-01,78.75,32
2012-07-01,84.5625,32
2012-08-01,86.125,32
2012-09-01,72.3125,32
2012-10-01,85.125,32
2012-11-01,88.1875,32
2012-12-01,84.75,32
2013-01-01,76.0625,32
2013-02-01,74.4375,32
2013-03-01,78.0625,32
2013-04-01,66.375,32
2013-05-01,69.5625,32
2013-06-01,81.5,32
2013-07-01,79.625,32
2013-08-01,84.25,32
2013-09-01,91.00000000000006,32
2013-10-01,93.18749999999996,32
2013-11-01,79.0625,32
2013-12-01,80.375,32
2014-01-01,81.0625,32
2014-02-01,81.43749999999999,32
2014-03-01,72.9375,32
2014-04-01,96.49999999999996,32
2014-05-01,83.625,32
2014-06-01,90.06249999999999,32
2014-07-01,93.8125,32
2014-08-01,85.5,32
2014-09-01,90.93750000000001,32
2014-10-01,88.25,32
2014-11-01,89.56250000000001,32
2014-12-01,88.75,32
2015-01-01,93.18750000000003,32
2015-02-01,83.9375,32
2015-03-01,81.3125,32
2015-04-01,89.4375,32
2015-05-01,87.5625,32
2015-06-01,90.87499999999997,32
2015-07-01,96.37500000000003,32
2015-08-01,86.4375,32
2015-09-01,90.68749999999996,32
2015-10-01,82.8125,32
2015-11-01,76.8125,32
2015-12-01,73.6875,32
2016-01-01,96.87499999999997,32
2016-02-01,77.1875,32
2016-03-01,81,32
2016-04-01,78.8125,32
2016-05-01,68.625,32
2016-06-01,70.8125,32
2016-07-01,77.5625,32
2016-08-01,74.125,32
2016-09-01,83.125,32
2016-10-01,84,32
2016-11-01,76.625,32
2016-12-01,77.875,32
2017-01-01,73.4375,32
2017-02-01,73.12500000000001,32
2017-03-01,70.3125,32
2017-04-01,83.4375,32
2017-05-01,82.6875,32
2017-06-01,74.625,32
2017-07-01,95.81250000000003,32
2017-08-01,73.375,32
2017-09-01,73.8125,32
2017-10-01,76.9375,32
2017-11-01,69.625,32
2017-12-01,47.875,32
2018-01-01,61.56250000000001,32
2018-02-01,48.5,32
2018-03-01,57.93749999999999,32
2018-04-01,68.18749999999999,32
2018-05-01,55.62500000000001,32
2018-06-01,64.5,32
2018-07-01,55.3125,32
2018-08-01,57.562500000000014,32
2018-09-01,56.6875,32
2018-10-01,58.00000000000001,32
2018-11-01,54.8125,32
2018-12-01,56.437500000000014,32
2019-01-01,60.9375,32
2019-02-01,55.75,32
2019-03-01,53.49999999999999,32
2019-04-01,50.1875,32
2019-05-01,57.875,32
2019-06-01,56.125,32
2019-07-01,60.875,32
2019-08-01,54.4375,32
2019-09-01,42.5625,32
2019-10-01,48,32
2019-11-01,55.12499999999999,32
2019-12-01,54.8125,32
2020-01-01,63.249999999999986,32
2020-02-01,45.8125,32
2020-03-01,45.125,32
2020-04-01,51.0625,32
2020-05-01,56,32
2020-06-01,57.75,32
2020-07-01,60.4375,32
2020-08-01,50.0625,32
2020-09-01,61.1875,32
2020-10-01,67.6875,32
2020-11-01,55.8125,32
2020-12-01,51,32
2021-01-01,60.749999999999986,32
2021-02-01,53.83870967741936,31
2021-03-01,56.466666666666676,30
2021-04-01,48.793103448275865,29
2021-05-01,54.07142857142857,28
2021-06-01,45.03703703703704,27
2021-07-01,51.38461538461539,26
2021-08-01,56.6,25
2021-09-01,43.083333333333336,24
2021-10-01,44.869565217391305,23
2021-11-01,44.72727272727273,22
2021-12-01,37.904761904761905,21
2022-01-01,47.2,20
2022-02-01,41,19
2022-03-01,39.888888888888886,18
2022-04-01,38,18
2022-05-01,34,18
2022-06-01,31.22222222222222,18
2022-07-01,38.22222222222222,18
2022-08-01,39.666666666666664,18
2022-09-01,33.44444444444444,18
2022-10-01,35.333333333333336,18
2022-11-01,65.11111111111111,18
