time,value,n
2006-01-01,50,1
2006-01-08,48,1
2006-01-15,0,1
2006-01-22,0,1
2006-01-29,0,1
2006-02-05,20,1
2006-02-12,40,1
2006-02-19,0,1
2006-02-26,36,1
2006-03-05,26,1
2006-03-12,0,1
2006-03-19,94,2
2006-03-26,0,2
2006-04-02,22,2
2006-04-09,58,2
2006-04-16,19,2
2006-04-23,60,2
2006-04-30,43,2
2006-05-07,58,2
2006-05-14,27,2
2006-05-21,54,2
2006-05-28,0,2
2006-06-04,29,3
2006-06-11,0,3
2006-06-18,54,3
2006-06-25,0,3
2006-07-02,0,3
2006-07-09,93,3
2006-07-16,65,3
2006-07-23,47,3
2006-07-30,0,3
2006-08-06,45,3
2006-08-13,100,3
2006-08-20,36,4
2006-08-27,0,4
2006-09-03,26.75,4
2006-09-10,66.75,4
2006-09-17,19.75,4
2006-09-24,58.5,4
2006-10-01,0,4
2006-10-08,32.75,4
2006-10-15,23.75,4
2006-10-22,46.25,4
2006-10-29,59.5,4
2006-11-05,36.6,5
2006-11-12,22.8,5
2006-11-19,52.4,5
2006-11-26,47,5
2006-12-03,47,5
2006-12-10,61.4,5
2006-12-17,47.4,5
2006-12-24,0,5
2006-12-31,55.4,5
2007-01-07,0,5
2007-01-14,24.2,5
2007-01-21,44.5,6
2007-01-28,0,6
2007-02-04,45,6
2007-02-11,33,6
2007-02-18,24,6
2007-02-25,56.5,6
2007-03-04,36,6
2007-03-11,19,6
2007-03-18,21.5,6
2007-03-25,23,6
2007-04-01,31,6
2007-04-08,42.857142857142854,7
2007-04-15,43.857142857142854,7
2007-04-22,35.285714285714285,7
2007-04-29,23.714285714285715,7
2007-05-06,41.857142857142854,7
2007-05-13,28.714285714285715,7
2007-05-20,41.285714285714285,7
2007-05-27,16.142857142857142,7
2007-06-03,29.714285714285715,7
2007-06-10,24.714285714285715,7
2007-06-17,22.142857142857142,7
2007-06-24,46.125,8
2007-07-01,26.875,8
2007-07-08,64.375,8
2007-07-15,57.75,8
2007-07-22,0,8
2007-07-29,72,8
2007-08-05,49.125,8
2007-08-12,59.375,8
2007-08-19,58.375,8
2007-08-26,11.625,8
2007-09-02,60.75,8
2007-09-09,54,9
2007-09-16,19.333333333333332,9
2007-09-23,59,9
2007-09-30,54,9
2007-10-07,25,9
2007-10-14,41.666666666666664,9
2007-10-21,49,9
2007-10-28,49.333333333333336,9
2007-11-04,49,9
2007-11-11,15.333333333333334,9
2007-11-18,55,9
2007-11-25,47.5,10
2007-12-02,31.1,10
2007-12-09,58.2,10
2007-12-16,64.2,10
2007-12-23,34.1,10
2007-12-30,41.5,10
2008-01-06,16.4,10
2008-01-13,34.1,10
2008-01-20,86.3,10
2008-01-27,55.2,10
2008-02-03,38.8,10
2008-02-10,38.90909090909091,11
2008-02-17,40.63636363636363,11
2008-02-24,23.454545454545453,11
2008-03-02,72.81818181818181,11
2008-03-09,0,11
2008-03-16,50.63636363636363,11
2008-03-23,41.63636363636363,11
2008-03-30,34.18181818181818,11
2008-04-06,0,11
2008-04-13,23.454545454545453,11
2008-04-20,10.727272727272728,11
2008-04-27,46.75,12
2008-05-04,29.25,12
2008-05-11,26.25,12
2008-05-18,46.75,12
2008-05-25,27.25,12
2008-06-01,0,12
2008-06-08,51.75,12
2008-06-15,82.75,12
2008-06-22,56.5,12
2008-06-29,61.25,12
2008-07-06,60.5,12
2008-07-13,26.53846153846154,13
2008-07-20,38.07692307692308,13
2008-07-27,25.307692307692307,13
2008-08-03,32.07692307692308,13
2008-08-10,11.76923076923077,13
2008-08-17,30.307692307692307,13
2008-08-24,16.76923076923077,13
2008-08-31,39.84615384615385,13
2008-09-07,24.307692307692307,13
2008-09-14,29.307692307692307,13
2008-09-21,67.38461538461539,13
2008-09-28,58.714285714285715,14
2008-10-05,34.357142857142854,14
2008-10-12,43.142857142857146,14
2008-10-19,36.142857142857146,14
2008-10-26,46.92857142857143,14
2008-11-02,40.142857142857146,14
2008-11-09,63.5,14
2008-11-16,35.142857142857146,14
2008-11-23,42.142857142857146,14
2008-11-30,19.571428571428573,14
2008-12-07,81.07142857142857,14
2008-12-14,55.8,15
2008-12-21,35.4,15
2008-12-28,98,15
2009-01-04,47,15
2009-01-11,49,15
2009-01-18,45,15
2009-01-25,44,15
2009-02-01,27.4,15
2009-02-08,40.2,15
2009-02-15,30.4,15
2009-02-22,34.4,15
2009-03-01,40.4375,16
2009-03-08,37.625,16
2009-03-15,33.5625,16
2009-03-22,48.5,16
2009-03-29,52.5625,16
2009-04-05,30.6875,16
2009-04-12,53.375,16
2009-04-19,55.375,16
2009-04-26,28.6875,16
2009-05-03,67.3125,16
2009-05-10,34.5625,16
2009-05-17,76.47058823529412,17
2009-05-24,22.705882352941178,17
2009-05-31,55.588235294117645,17
2009-06-07,30.823529411764707,17
2009-06-14,53.588235294117645,17
2009-06-21,38.705882352941174,17
2009-06-28,39.76470588235294,17
2009-07-05,59.705882352941174,17
2009-07-12,74.47058823529412,17
2009-07-19,56.705882352941174,17
